"Status","Name","Duration in ms","Description"
"failed","com.toptal.screening.cartes.MarkersTest.updateMarker","413",""
"passed","com.toptal.screening.cartes.MarkersTest.createMarker","534",""
"passed","com.toptal.screening.cartes.MarkersTest.updateMarkerForNonExistentId","290",""
"passed","com.toptal.screening.cartes.MarkersTest.unsupportedMarkersMethods","295",""
"failed","com.toptal.screening.cartes.MarkersTest.updateMarkerWithoutRequiredFields","271",""
"passed","com.toptal.screening.cartes.MarkersTest.postMarkerForNonExistentMap","257",""
"passed","com.toptal.screening.cartes.MarkersTest.postMarkerWithoutRequiredFields","584",""
"passed","com.toptal.screening.cartes.MarkersTest.unsupportedMarkersMethods","266",""
"passed","com.toptal.screening.cartes.MarkersTest.unsupportedMarkersMethods","268",""
